subject,time_bin,stress_mean,stress_std,stress_max,high_pressure_share,defect_rate,delay_flag,cycle_time
S10,0,0.011314783335,0.007114452674629033,0.033042748,0.23333333333333334,0.0130493099318061,0,59.53497416084407
S10,1,0.009722006958333333,0.0033213886084076413,0.021725496,0.06666666666666667,0.004926699757682,0,61.788951062613584
S10,2,0.004897202535135135,0.0014584794197440632,0.008544673,0.0,0.0181409242042937,1,63.935117696467245
S10,3,0.007282714278260869,0.002750369771541943,0.013755997,0.0,0.0074597450437954,0,57.51980524967448
S11,0,0.07403520518333333,0.07517890945282919,0.21681125,0.3,0.0149115716169968,0,51.91430288037768
S11,1,0.013930690566666666,0.008906454144337736,0.03657977,0.0,0.0147787599330899,0,52.659233823254034
S11,2,0.007211200845454546,0.00712738332311536,0.031539176,0.0,0.0058204396646666,0,53.08270551023264
S11,3,0.004714563047826087,0.0010852338360681003,0.006560454,0.0,0.00708835334777,0,63.082893595519565
S13,0,0.14233632626666667,0.11293965742342338,0.32108742,0.05,0.0143949026907074,0,63.401339473882665
S13,1,0.16322953179166666,0.14876726466868032,0.34901682,0.23333333333333334,0.0151602073390537,1,68.00178974106653
S13,2,0.02390779466129032,0.0553405362869947,0.32117507,0.03225806451612903,0.0081868566719175,1,69.7395468157705
S13,3,0.00965502234347826,0.003275871448384245,0.014436348,0.0,0.0078145070979614,0,60.16546113526893
S14,0,0.018732127850000002,0.015741768425979834,0.059118707,0.2,0.0150493309530159,0,54.27042430714489
S14,1,0.012695201868333334,0.01162135790136297,0.04331739,0.1,0.0245263253011788,0,66.22210265877825
S14,2,0.00512300504375,0.003443486702040097,0.02097395,0.0,0.0139484831521645,1,60.95930150682485
S14,3,0.0052308367086956525,0.0037887575822717315,0.02175486,0.0,0.0052161151211092,0,52.18814566648948
S15,0,0.03408387077166666,0.025681881683787676,0.092488326,0.3,0.0094009996837843,0,65.96728854652791
S15,1,0.011436799146666668,0.005333206234530493,0.027390473,0.0,0.0049190784339254,0,60.90088039607345
S15,2,0.00640360153030303,0.002179151283694193,0.011059642,0.0,0.0069355700749853,1,63.1864534748104
S15,3,0.009311585945454545,0.004055320517430927,0.018053802,0.0,0.0133761932708379,0,64.62497401687588
S16,0,0.011400520716666666,0.006499133392806418,0.026671404,0.0,0.0063739384197201,0,58.68194853507726
S16,1,0.015236641853333333,0.01282918997020846,0.037591208,0.3,0.0032210656449292,1,65.80296771599077
S16,2,0.00483289906875,0.0035617482460361485,0.016846422,0.0,0.0047099700834073,0,54.11562486097165
S16,3,0.004393397630434783,0.0018665955222402378,0.009080534,0.0,0.0143936469776738,0,61.57067487425355
S17,0,0.013402711861666666,0.011012634395787816,0.039769676,0.23333333333333334,0.0124783157183215,0,57.04245546420771
S17,1,0.010624932368333334,0.007142322064765454,0.023566524,0.06666666666666667,0.018008417882834,0,61.90340490733326
S17,2,0.007649093729729731,0.005300349723110375,0.020104641,0.0,0.0,1,64.26249439647071
S17,3,0.0046500576,0.0025291094435729014,0.010661175,0.0,0.0031387505870429,0,65.3054592386971
S2,0,0.0069946494199999995,0.003152736787820747,0.016035607,0.23333333333333334,0.0092513730318124,0,61.92545584595873
S2,1,0.005778058882142857,0.0019500372533766644,0.012089603,0.03571428571428571,0.0063426113006175,1,63.83411759649899
S2,2,0.004103339036666666,0.0007951792732589328,0.0065094414,0.0,0.0061626989373673,0,57.57328156281065
S2,3,0.004968784105263158,0.0018846099583712055,0.010637873,0.05263157894736842,0.0127556808628871,0,65.8903089467654
S3,0,0.04803887231,0.04072680382111573,0.18261598,0.25,0.0097531425966648,0,63.52711461176678
S3,1,0.018347331398305085,0.01757627529858973,0.118023224,0.03389830508474576,0.0177766772376641,0,61.24471309774027
S3,2,0.010730103376666666,0.005951956601572175,0.03353261,0.0,0.0070262396994465,0,58.57629133454449
S3,3,0.006100945052631579,0.001804740380326564,0.008687516,0.0,0.0166737153533293,0,58.66225554692453
S4,0,0.00797439261,0.0047249653137257375,0.021044785,0.15,0.0104242869137123,0,58.98655218532426
S4,1,0.007675698648275862,0.004847893845615971,0.018889772,0.13793103448275862,0.0084062026745123,0,58.70782969061581
S4,2,0.0043265552166666665,0.0012310141980093653,0.0077698804,0.0,0.0094098992025032,0,62.10678538840602
S4,3,0.00429860792,0.0020115797255177985,0.01091959,0.0,0.0054996463536636,0,67.10576585169646
S5,0,0.023753883175,0.009411030673630678,0.056683134,0.03333333333333333,0.0015938380822547,0,60.34250828625392
